FROM mtn ID#,TO mtn ID#,Travel distance [m],Travel duration [s]
1,2,661,64
1,3,68051,4380
1,4,2.45E+05,10314
1,5,52655,3230
1,6,2.95E+05,15171
1,7,1.98E+05,10750
1,8,1.39E+05,6827
1,9,1.02E+05,6390
1,10,87009,4961
1,11,1.22E+05,8004
1,12,96432,5741
1,13,1.27E+05,7163
1,14,2.30E+05,11754
1,15,4.01E+05,18615
1,16,1.11E+05,6554
1,17,48669,3514
1,18,73737,3934
1,19,79441,4347
1,20,1.87E+05,8663
1,21,4.36E+05,20383
1,22,1.16E+05,8324
1,23,3.71E+05,17925
1,24,1.38E+05,8740
1,25,1.80E+05,8420
1,26,1.18E+05,7919
1,27,4.78E+05,25218
1,28,3.23E+05,21574
1,29,3.12E+05,13461
1,30,2.50E+05,13055
1,31,1.37E+05,7333
1,32,3.11E+05,16170
1,33,3.00E+05,16313
1,34,2.64E+05,15693
1,35,73367,5958
1,36,56087,4691
2,3,68713,4449
2,4,2.46E+05,10382
2,5,53316,3298
2,6,2.96E+05,15239
2,7,1.99E+05,10818
2,8,1.39E+05,6896
2,9,1.03E+05,6459
2,10,87670,5029
2,11,1.23E+05,8072
2,12,97093,5809
2,13,1.27E+05,7232
2,14,2.31E+05,11823
2,15,4.01E+05,18684
2,16,1.11E+05,6623
2,17,49331,3582
2,18,74398,4003
2,19,80102,4416
2,20,1.87E+05,8731
2,21,4.37E+05,20452
2,22,1.17E+05,8392
2,23,3.71E+05,17994
2,24,1.39E+05,8809
2,25,1.81E+05,8488
2,26,1.19E+05,7988
2,27,4.79E+05,25287
2,28,3.24E+05,21643
2,29,3.13E+05,13529
2,30,2.50E+05,13123
2,31,1.38E+05,7402
2,32,3.12E+05,16238
2,33,3.00E+05,16382
2,34,2.65E+05,15761
2,35,74029,6027
2,36,56749,4759
3,4,1.98E+05,8703
3,5,62159,3658
3,6,2.49E+05,13560
3,7,1.52E+05,9139
3,8,92315,5217
3,9,1.47E+05,8087
3,10,40604,3281
3,11,1.31E+05,8432
3,12,96944,5164
3,13,1.40E+05,7200
3,14,2.75E+05,13451
3,15,3.54E+05,17004
3,16,64181,4943
3,17,44330,3404
3,18,27332,2254
3,19,27562,2350
3,20,1.40E+05,7052
3,21,3.90E+05,18772
3,22,1.26E+05,8752
3,23,3.24E+05,16314
3,24,1.48E+05,9168
3,25,1.34E+05,6809
3,26,1.28E+05,8347
3,27,4.32E+05,23607
3,28,2.77E+05,19963
3,29,2.65E+05,11850
3,30,2.03E+05,11444
3,31,90669,5722
3,32,2.65E+05,14559
3,33,2.53E+05,14702
3,34,2.18E+05,14082
3,35,1.18E+05,7588
3,36,51748,4581
4,5,2.39E+05,9536
4,6,2.33E+05,12807
4,7,1.32E+05,8380
4,8,2.55E+05,10262
4,9,3.24E+05,13965
4,10,1.92E+05,7885
4,11,3.08E+05,14310
4,12,2.60E+05,10209
4,13,3.03E+05,12245
4,14,4.81E+05,17725
4,15,4.30E+05,19087
4,16,1.63E+05,7603
4,17,2.21E+05,9282
4,18,1.96E+05,7617
4,19,2.04E+05,8239
4,20,1.06E+05,4883
4,21,4.26E+05,19488
4,22,3.02E+05,14630
4,23,4.00E+05,18397
4,24,3.24E+05,15047
4,25,2.97E+05,11854
4,26,3.05E+05,14226
4,27,3.38E+05,19952
4,28,2.61E+05,19211
4,29,76958,4262
4,30,96814,6580
4,31,2.54E+05,10767
4,32,2.42E+05,13299
4,33,2.38E+05,13949
4,34,2.12E+05,13127
4,35,2.95E+05,13466
4,36,2.29E+05,10459
5,6,2.89E+05,14400
5,7,1.92E+05,9980
5,8,1.33E+05,6057
5,9,1.32E+05,6898
5,10,81094,4191
5,11,69262,4774
5,12,1.38E+05,6005
5,13,1.56E+05,7671
5,14,2.60E+05,12262
5,15,3.95E+05,17845
5,16,1.05E+05,5784
5,17,42754,2743
5,18,67822,3164
5,19,73526,3577
5,20,1.81E+05,7892
5,21,4.30E+05,19613
5,22,63511,5094
5,23,3.65E+05,17155
5,24,85414,5511
5,25,1.74E+05,7650
5,26,65712,4690
5,27,4.73E+05,24448
5,28,3.17E+05,20804
5,29,3.06E+05,12690
5,30,2.44E+05,12284
5,31,1.31E+05,6563
5,32,3.05E+05,15399
5,33,2.94E+05,15543
5,34,2.58E+05,14922
5,35,1.03E+05,6399
5,36,50172,3920
6,7,3.03E+05,16754
6,8,3.06E+05,15217
6,9,3.75E+05,18920
6,10,2.42E+05,12840
6,11,3.59E+05,19265
6,12,3.11E+05,15165
6,13,3.53E+05,17200
6,14,5.11E+05,24172
6,15,2.79E+05,15377
6,16,2.08E+05,12309
6,17,2.72E+05,14237
6,18,2.46E+05,12572
6,19,2.55E+05,13194
6,20,2.47E+05,13181
6,21,3.14E+05,17145
6,22,3.53E+05,19585
6,23,2.49E+05,14687
6,24,3.37E+05,18547
6,25,3.48E+05,16809
6,26,3.39E+05,18634
6,27,3.56E+05,22913
6,28,38302,8453
6,29,2.94E+05,15648
6,30,3.14E+05,17966
6,31,3.04E+05,15723
6,32,43199,5925
6,33,14923,3192
6,34,93737,13156
6,35,3.46E+05,18421
6,36,2.79E+05,15414
7,8,2.10E+05,10596
7,9,2.76E+05,14447
7,10,1.44E+05,8367
7,11,2.60E+05,14792
7,12,2.14E+05,10543
7,13,2.57E+05,12579
7,14,3.76E+05,16694
7,15,4.07E+05,20181
7,16,1.20E+05,8257
7,17,1.73E+05,9764
7,18,1.48E+05,8099
7,19,1.56E+05,8721
7,20,1.91E+05,10112
7,21,4.43E+05,21949
7,22,2.54E+05,15112
7,23,3.77E+05,19491
7,24,2.76E+05,15529
7,25,1.70E+05,9653
7,26,2.56E+05,14708
7,27,4.83E+05,26667
7,28,3.30E+05,23140
7,29,1.59E+05,9897
7,30,80204,6542
7,31,2.09E+05,11189
7,32,3.18E+05,17735
7,33,3.06E+05,17879
7,34,2.69E+05,17142
7,35,2.47E+05,13948
7,36,1.80E+05,10941
8,9,85533,6021
8,10,1.03E+05,5120
8,11,2.02E+05,10831
8,12,22250,1719
8,13,84038,4660
8,14,2.13E+05,11385
8,15,4.11E+05,18611
8,16,1.21E+05,6550
8,17,1.15E+05,5803
8,18,89529,4138
8,19,97741,4760
8,20,1.97E+05,8658
8,21,4.47E+05,20379
8,22,1.96E+05,11151
8,23,3.81E+05,17920
8,24,2.18E+05,11568
8,25,1.22E+05,5818
8,26,1.98E+05,10747
8,27,4.89E+05,25214
8,28,3.34E+05,21570
8,29,3.23E+05,13456
8,30,2.63E+05,12805
8,31,39341,3390
8,32,3.22E+05,16165
8,33,3.10E+05,16309
8,34,2.75E+05,15688
8,35,1.20E+05,7844
8,36,1.22E+05,6980
9,10,1.67E+05,8721
9,11,2.02E+05,11764
9,12,64876,4529
9,13,33899,3622
9,14,1.38E+05,8213
9,15,5.04E+05,21423
9,16,1.90E+05,10315
9,17,1.28E+05,7274
9,18,1.53E+05,7695
9,19,1.59E+05,8108
9,20,2.66E+05,12423
9,21,5.39E+05,23191
9,22,1.96E+05,12084
9,23,4.74E+05,20733
9,24,2.34E+05,11024
9,25,1.90E+05,10142
9,26,2.36E+05,11112
9,27,5.58E+05,28979
9,28,4.86E+05,23856
9,29,3.92E+05,17221
9,30,3.97E+05,16386
9,31,1.08E+05,7715
9,32,3.91E+05,19930
9,33,3.79E+05,20074
9,34,3.44E+05,19453
9,35,1.08E+05,6977
9,36,1.36E+05,8451
10,11,1.50E+05,9011
10,12,1.08E+05,5059
10,13,1.51E+05,7095
10,14,2.94E+05,14031
10,15,3.47E+05,16221
10,16,57494,4159
10,17,63288,3983
10,18,31072,2225
10,19,43659,2712
10,20,1.33E+05,6268
10,21,3.83E+05,17989
10,22,1.45E+05,9331
10,23,3.18E+05,15530
10,24,1.67E+05,9748
10,25,1.45E+05,6704
10,26,1.47E+05,8927
10,27,4.25E+05,22824
10,28,2.70E+05,19180
10,29,2.59E+05,11066
10,30,1.97E+05,10660
10,31,1.02E+05,5618
10,32,2.58E+05,13775
10,33,2.47E+05,13918
10,34,2.11E+05,13298
10,35,1.37E+05,8168
10,36,70706,5160
11,12,2.07E+05,10734
11,13,2.25E+05,12400
11,14,3.29E+05,16991
11,15,3.42E+05,17173
11,16,1.74E+05,10513
11,17,1.12E+05,7472
11,18,1.37E+05,7893
11,19,1.43E+05,8306
11,20,2.50E+05,12621
11,21,3.77E+05,18941
11,22,35948,3605
11,23,3.12E+05,16483
11,24,57851,4022
11,25,2.44E+05,12379
11,26,38149,3201
11,27,4.39E+05,26390
11,28,3.24E+05,19606
11,29,3.75E+05,17419
11,30,3.13E+05,17013
11,31,2.00E+05,11292
11,32,3.75E+05,20128
11,33,3.63E+05,20272
11,34,3.28E+05,19651
11,35,1.95E+05,10288
11,36,1.19E+05,8649
12,13,88666,4628
12,14,1.92E+05,9923
12,15,4.16E+05,18579
12,16,1.26E+05,6518
12,17,1.20E+05,5771
12,18,94158,4107
12,19,1.02E+05,4728
12,20,2.02E+05,8627
12,21,4.51E+05,20347
12,22,2.01E+05,11119
12,23,3.86E+05,17889
12,24,2.25E+05,10430
12,25,1.26E+05,5786
12,26,2.27E+05,10517
12,27,4.94E+05,25182
12,28,3.38E+05,21538
12,29,3.27E+05,13425
12,30,2.67E+05,12773
12,31,43970,3359
12,32,3.27E+05,16134
12,33,3.15E+05,16277
12,34,2.80E+05,15657
12,35,98716,6382
12,36,1.27E+05,6948
13,14,1.41E+05,8276
13,15,4.59E+05,20662
13,16,1.69E+05,8601
13,17,1.62E+05,7854
13,18,1.37E+05,6189
13,19,1.45E+05,6811
13,20,2.45E+05,10709
13,21,4.94E+05,22430
13,22,2.20E+05,12886
13,23,4.29E+05,19971
13,24,2.58E+05,11826
13,25,1.41E+05,7842
13,26,2.60E+05,11913
13,27,5.37E+05,27265
13,28,3.81E+05,23621
13,29,3.70E+05,15507
13,30,3.10E+05,14856
13,31,86731,5441
13,32,3.69E+05,18216
13,33,3.58E+05,18360
13,34,3.22E+05,17739
13,35,1.32E+05,7779
13,36,1.70E+05,9031
14,15,6.31E+05,26693
14,16,3.28E+05,15550
14,17,2.56E+05,12544
14,18,2.81E+05,12965
14,19,2.87E+05,13378
14,20,4.03E+05,17659
14,21,6.67E+05,28461
14,22,3.23E+05,17354
14,23,6.02E+05,26003
14,24,3.62E+05,16295
14,25,2.83E+05,11894
14,26,3.64E+05,16382
14,27,6.95E+05,34215
14,28,6.14E+05,29126
14,29,5.07E+05,19329
14,30,4.35E+05,17510
14,31,2.46E+05,12391
14,32,5.28E+05,25166
14,33,5.17E+05,25309
14,34,4.81E+05,24689
14,35,2.35E+05,12247
14,36,2.63E+05,13721
15,16,3.13E+05,15697
15,17,3.77E+05,17625
15,18,3.51E+05,15960
15,19,3.60E+05,16582
15,20,3.72E+05,17442
15,21,62931,5478
15,22,3.34E+05,17431
15,23,94352,7284
15,24,3.14E+05,15913
15,25,4.53E+05,20197
15,26,3.16E+05,16000
15,27,2.22E+05,17191
15,28,1.07E+05,10407
15,29,4.97E+05,22240
15,30,4.60E+05,22447
15,31,4.10E+05,19110
15,32,2.95E+05,16259
15,33,2.83E+05,16402
15,34,2.97E+05,18742
15,35,4.39E+05,19488
15,36,3.84E+05,18802
16,17,86931,5583
16,18,61531,3919
16,19,69743,4540
16,20,1.04E+05,6004
16,21,3.48E+05,17484
16,22,1.68E+05,10931
16,23,2.83E+05,15025
16,24,1.90E+05,11348
16,25,1.63E+05,8155
16,26,1.70E+05,10527
16,27,3.96E+05,22560
16,28,2.35E+05,18675
16,29,2.30E+05,10802
16,30,1.73E+05,10545
16,31,1.20E+05,7069
16,32,2.24E+05,13270
16,33,2.12E+05,13414
16,34,1.82E+05,13034
16,35,1.61E+05,9768
16,36,94349,6760
17,18,50010,2927
17,19,55713,3339
17,20,1.63E+05,7655
17,21,4.12E+05,19376
17,22,1.06E+05,7942
17,23,3.47E+05,16917
17,24,1.28E+05,8358
17,25,1.57E+05,7412
17,26,1.09E+05,7537
17,27,4.55E+05,24211
17,28,2.99E+05,20567
17,29,2.88E+05,12453
17,30,2.26E+05,12047
17,31,1.13E+05,6326
17,32,2.88E+05,15162
17,33,2.76E+05,15305
17,34,2.41E+05,14685
17,35,98883,6778
17,36,7418,1177
18,19,30388,1732
18,20,1.24E+05,5583
18,21,3.74E+05,17304
18,22,1.31E+05,8352
18,23,3.08E+05,14845
18,24,1.53E+05,8769
18,25,1.31E+05,5812
18,26,1.34E+05,7948
18,27,4.16E+05,22139
18,28,2.61E+05,18495
18,29,2.50E+05,10381
18,30,1.87E+05,9975
18,31,88006,4726
18,32,2.49E+05,13090
18,33,2.37E+05,13234
18,34,2.02E+05,12613
18,35,1.24E+05,7188
18,36,57434,4181
19,20,1.46E+05,6657
19,21,3.95E+05,18378
19,22,1.37E+05,8742
19,23,3.30E+05,15920
19,24,1.59E+05,9158
19,25,1.39E+05,6415
19,26,1.39E+05,8337
19,27,4.38E+05,23213
19,28,2.82E+05,19569
19,29,2.71E+05,11455
19,30,2.09E+05,11049
19,31,96228,5328
19,32,2.70E+05,14164
19,33,2.59E+05,14308
19,34,2.23E+05,13687
19,35,1.30E+05,7578
19,36,63138,4571
20,21,4.07E+05,19232
20,22,2.44E+05,13007
20,23,3.42E+05,16774
20,24,2.66E+05,13423
20,25,2.39E+05,10231
20,26,2.46E+05,12602
20,27,3.52E+05,20383
20,28,2.75E+05,19641
20,29,1.73E+05,8059
20,30,1.93E+05,10377
20,31,1.95E+05,9144
20,32,2.56E+05,13729
20,33,2.51E+05,14380
20,34,1.54E+05,11504
20,35,2.37E+05,11843
20,36,1.70E+05,8836
21,22,3.69E+05,19196
21,23,1.30E+05,9049
21,24,3.49E+05,17678
21,25,4.88E+05,21962
21,26,3.52E+05,17765
21,27,2.22E+05,15549
21,28,1.42E+05,12172
21,29,4.87E+05,22329
21,30,4.96E+05,24212
21,31,4.45E+05,20875
21,32,3.30E+05,18024
21,33,3.19E+05,18167
21,34,3.33E+05,20507
21,35,4.74E+05,21253
21,36,4.20E+05,20567
22,23,3.06E+05,16842
22,24,52054,4382
22,25,2.38E+05,12740
22,26,32351,3561
22,27,4.34E+05,26749
22,28,3.19E+05,19965
22,29,3.69E+05,17781
22,30,3.07E+05,17375
22,31,1.95E+05,11653
22,32,3.69E+05,20490
22,33,3.57E+05,20633
22,34,3.22E+05,20013
22,35,1.89E+05,10647
22,36,1.14E+05,9011
23,24,2.84E+05,15244
23,25,4.23E+05,19528
23,26,2.86E+05,15331
23,27,1.57E+05,14766
23,28,42303,7982
23,29,4.67E+05,21571
23,30,4.30E+05,21778
23,31,3.80E+05,18442
23,32,2.65E+05,15590
23,33,50873,9907
23,34,2.67E+05,18073
23,35,4.09E+05,18819
23,36,3.54E+05,18133
24,25,2.60E+05,13175
24,26,28498,2494
24,27,4.13E+05,25251
24,28,2.98E+05,18467
24,29,3.91E+05,18215
24,30,3.29E+05,17809
24,31,2.17E+05,12088
24,32,3.53E+05,19560
24,33,3.41E+05,19703
24,34,3.44E+05,20447
24,35,1.69E+05,9149
24,36,1.36E+05,9445
25,26,2.40E+05,12463
25,27,5.31E+05,26930
25,28,3.76E+05,23286
25,29,3.29E+05,13419
25,30,2.57E+05,11601
25,31,1.21E+05,6496
25,32,3.64E+05,17881
25,33,3.52E+05,18024
25,34,3.17E+05,17404
25,35,2.31E+05,11703
25,36,1.64E+05,8696
26,27,4.16E+05,25345
26,28,3.01E+05,18561
26,29,3.72E+05,17385
26,30,3.09E+05,16979
26,31,1.97E+05,11258
26,32,3.55E+05,19654
26,33,3.44E+05,19797
26,34,3.24E+05,19617
26,35,1.72E+05,9244
26,36,1.16E+05,8615
27,28,1.35E+05,14987
27,29,3.99E+05,22807
27,30,4.19E+05,25125
27,31,4.87E+05,25677
27,32,3.65E+05,23429
27,33,1.50E+05,18387
27,34,4.17E+05,26760
27,35,5.29E+05,28376
27,36,4.62E+05,25368
28,29,3.22E+05,22051
28,30,3.42E+05,24369
28,31,3.32E+05,22125
28,32,70967,12327
28,33,30048,6764
28,34,1.22E+05,19559
28,35,4.21E+05,21911
28,36,3.07E+05,21817
29,30,1.24E+05,8101
29,31,3.21E+05,13867
29,32,3.03E+05,16133
29,33,2.98E+05,16784
29,34,2.79E+05,16227
29,35,3.62E+05,16566
29,36,2.96E+05,13558
30,31,2.62E+05,13524
30,32,3.23E+05,18454
30,33,3.18E+05,19105
30,34,2.99E+05,18548
30,35,3.00E+05,16284
30,36,2.33E+05,13276
31,32,3.20E+05,16722
31,33,3.09E+05,16865
31,34,2.73E+05,16245
31,35,1.42E+05,9516
31,36,1.21E+05,7536
32,33,47588,7089
32,34,1.03E+05,13652
32,35,3.62E+05,19357
32,36,2.95E+05,16350
33,34,98126,14295
33,35,3.50E+05,19560
33,36,2.84E+05,16553
34,35,3.15E+05,18888
34,36,2.48E+05,15881
35,36,1.06E+05,7885
